Name,Year,Duration,Genre,Rating,Votes,Director,Actor 1,Actor 2,Actor 3
10ml LOVE,2010,87,"Comedy, Drama, Romance",6.3,162.0,Sharat Katariya,Neil Bhoopalam,Anusha Bose,Manu Rishi Chadha
12 Bulbule,2021,128,"Comedy, Drama, Family",5.839567609057182,5.839567609057182,Jagat Joon,Sonu Sonkar,Sunita Verman,Anubhav Dixit
12 O'Clock,1958,132,"Crime, Drama, Mystery",7.2,72.0,Pramod Chakravorty,Guru Dutt,Waheeda Rehman,Shashikala
127 B,2017,116,"Comedy, Horror",6.6,26.0,Seshu Kmr,Mast Ali,Aziz Naser,Heena Shaik
13 May Gulaabi Nagar,2010,128,Action,5.839567609057182,5.839567609057182,N.K. Pareek,Nirmal Pandey,Khushi Rajpoot,Raj Singh Verma
13 Tribute of Love,2020,66,Drama,5.839567609057182,5.839567609057182,Rahul Tiwari,Rahul Tiwari Adhiyari,Anil Arora,Asima Bhatt
13B: Fear Has a New Address,2009,146,"Drama, Horror, Mystery",7.3,6329.0,Vikram K. Kumar,Madhavan,Neetu Chandra,Poonam Dhillon
14 Phere,2021,128,Comedy,5.839567609057182,5.839567609057182,Devanshu Singh,Vikrant Massey,Kriti Kharbanda,Gauahar Khan
15 Park Avenue,2005,116,Drama,7.1,1002.0,Aparna Sen,Shabana Azmi,Konkona Sen Sharma,Rahul Bose
15th August,1993,168,Drama,5.6,15.0,Vicky Ranawat,Ronit Roy,Tisca Chopra,Shakti Kapoor
16 December,2002,158,"Action, Thriller",6.9,1235.0,Mani Shankar,Milind Soman,Danny Denzongpa,Gulshan Grover
18.11,2014,126,Action,3.5,10.0,Mohibul Haque,Rehal Khan,Gulshan Grover,Mukesh Tiwari
1857,1946,128,"Drama, History",5.0,8.0,Mohan Sinha,Nigar Sultana,Suraiya,Menaka Devi
19 Revolutions,2004,94,Drama,4.5,16.0,Sridhar Reddy,Tarun Arora,Gulshan Grover,Vinay Pandey
1920,2008,138,"Horror, Mystery, Romance",6.4,3100.0,Vikram Bhatt,Rajniesh Duggall,Adah Sharma,Anjori Alagh
1920 London,2016,120,"Horror, Mystery",4.1,1559.0,Dharmendra Suresh Desai,Sharman Joshi,Meera Chopra,Vishal Karwal
1920: Evil Returns,2012,124,"Drama, Horror, Romance",4.8,1811.0,Bhushan Patel,Vicky Ahuja,Tia Bajpai,Tarakesh Chauhan
1921,2018,144,"Horror, Mystery, Romance",4.5,1069.0,Vikram Bhatt,Zareen Khan,Karan Kundra,Vikram Bhatt
1942: A Love Story,1994,157,"Action, Drama, History",7.2,3223.0,Vidhu Vinod Chopra,Anil Kapoor,Jackie Shroff,Manisha Koirala
1971,2007,136,"Action, Drama, War",8.1,1892.0,Amrit Sagar,Manoj Bajpayee,Ravi Kishan,Deepak Dobriyal
1978: A Teen Night Out,2019,107,Thriller,4.0,20.0,Aziz Zee,Abuzar Akhtar,Apurva Godbole,Vaishnavi Kadam
1982 - A Love Marriage,2017,113,Comedy,5.5,106.0,Prashant Gore,Amitkumar Sharma,Omna,Rita Agarwal
19th January,2014,128,Drama,7.3,16.0,Sanjay Amar,Mumtaz Ahmed,Bidita Bag,Madhuri Bhatia
2 Band Radio,2019,128,Comedy,5.839567609057182,5.839567609057182,Saki Shah,Bilal Ahamad Bhagat,Neelu Dogra,Rahat Kazmi
2 Little Indians,2013,128,"Comedy, Family",5.6,14.0,Ravi Bhatia,Ravi Bhatia,Ronak Bhatia,Kamal Chopra
2 Nights in Soul Valley,2012,80,"Adventure, Horror, Mystery",6.8,21.0,Harish Sharma,Hemant Pandey,Sumeet Sharma,Sumeet Sharma
2 October,2003,122,"Action, Crime, Thriller",5.0,33.0,Sunil Tiwari,Ashutosh Rana,Rocky Verma,Saadhika
2 Piece,2005,128,Drama,5.839567609057182,5.839567609057182,Kishan Shah,Ramesh Goyal,Satnam Kaur,Anil Nagrath
2 States,2014,149,"Comedy, Drama, Romance",6.9,24034.0,Abhishek Varman,Arjun Kapoor,Alia Bhatt,Amrita Singh
2.0,2018,148,"Action, Sci-Fi",6.2,21938.0,S. Shankar,Rajinikanth,Akshay Kumar,Amy Jackson
2006 Varanasi: The Untold,2018,128,Drama,5.839567609057182,5.839567609057182,Aryeman Ramsay,Mukul Dev,Rahul Dev,Ravi Kishan
2007 the last encounter,2018,128,Drama,5.839567609057182,5.839567609057182,Partha Sarkar,Bidita Bag,Sameer Dharmadhikari,Jatin Goswami
2016 the End,2017,130,Comedy,6.1,94.0,Jaideep Chopra,Divyendu Sharma,Kiku Sharda,Harshad Chopda
21: Battle of Saragarhi,1987,128,War,5.839567609057182,5.839567609057182,Rajkumar Santoshi,Randeep Hooda,Vikramjeet Virk,Nitin Chauhan
22 Days,2018,124,Thriller,6.1,8.0,Shivam Tiwari,Rahul Dev,Shivam Tiwari,Sophia Singh
22 June 1897,1979,121,"Drama, History",7.7,52.0,Jayoo Patwardhan,Nachiket Patwardhan,Sadashiv Amrapurkar,Udayan Dixit
22 Yards,2019,126,Sport,6.1,361.0,Mitali Ghoshal,Barun Sobti,Amartya Ray,Rajit Kapoor
24 Ghante,1998,128,Thriller,5.839567609057182,5.839567609057182,Tinnu Anand,Bharat Kapoor,Goga Kapoor,Amrit Pal
26th January,1956,128,Drama,5.839567609057182,5.839567609057182,Ramesh Saigal,Ajit,Nalini Jaywant,Leela Mishra
26th July at Barista,2008,128,Drama,3.1,32.0,Mohan Sharma,Ajita,Himani Chawla,Sumeet Chawla
27 Down,1974,115,Drama,6.9,194.0,Awtar Krishna Kaul,Sudhir Dalvi,Rakhee Gulzar,Sadhu Meher
3 AM: A Paranormal Experience,2014,103,"Horror, Romance",5.0,514.0,Vishal Mahadkar,Salil Acharya,Kavin Dave,Jason Matthew Ethier
3 Days 4 Nights in Bihar,2020,128,Comedy,5.839567609057182,5.839567609057182,Abhishek Dogra,Jackky Bhagnani,Sharman Joshi,Ruslaan Mumtaz
3 Deewarein,2003,115,"Crime, Drama",7.8,2322.0,Nagesh Kukunoor,Naseeruddin Shah,Jackie Shroff,Juhi Chawla
3 Dev,2019,122,Comedy,6.9,35.0,Ankush Bhatt,Karan Singh Grover,Ravi Dubey,Kunaal Roy Kapur
3 Idiots,2009,170,"Comedy, Drama",8.4,357889.0,Rajkumar Hirani,Aamir Khan,Madhavan,Mona Singh
3 Nights 4 Days,2009,128,"Drama, Romance",5.2,23.0,Devang Dholakia,Sameer Aftab,Hrishitaa Bhatt,Anuj Sahani
3 Shyaane,2020,128,Comedy,5.839567609057182,5.839567609057182,Anees Barudwale,Asrani,Rakesh Bedi,Priyanshu Chatterjee
3 Storeys,2018,100,Drama,6.9,358.0,Arjun Mukerjee,Aisha Ahmed,Tarun Anand,Richa Chadha
3.0 Megapixel,2015,99,"Adventure, Drama",4.3,6.0,Divakar Ghodake,Seema Azmi,Meenal Chirankar,Pooja Kasekar
30 Days,2004,128,Horror,5.0,14.0,Ravi Sinha,Abhay Bhargava,Milind Gunaji,Dinesh Hingoo
30 Minutes,2016,128,Thriller,4.8,26.0,Yesudas,Rana Jung Bahadur,Hrishitaa Bhatt,Shiva Kumar
31st October,2015,109,"Action, Drama, History",5.8,238.0,Shivaji Lotan Patil,Soha Ali Khan,Lakha Lakhwinder Singh,Nagesh Bhonsle
340,2009,128,Thriller,4.6,9.0,Suryaprakash Lakkoju,Ragesh Asthana,Iqbal Azad,Ahsaas Channa
36 China Town,2006,140,"Comedy, Mystery, Thriller",5.7,4373.0,Abbas Alibhai Burmawalla,Mastan Alibhai Burmawalla,Akshaye Khanna,Kareena Kapoor
36 Chowringhee Lane,1981,122,"Drama, Romance",7.5,392.0,Aparna Sen,Jennifer Kendal,Dhritiman Chatterjee,Debashree Roy
36 Ghante,1974,128,"Action, Crime, Drama",6.7,128.0,Raj Tilak,Raaj Kumar,Mala Sinha,Sunil Dutt
376 D,2020,128,"Crime, Thriller",5.7,252.0,Gunveen Kaur,Robin Sikarwar,Vivek Kumar,Deeksha Joshi
377 AbNormal,2019,93,Drama,5.6,93.0,Faruk Kabir,Muntazir Ahmad,Shashank Arora,Mohd. Zeeshan Ayyub
3D Saamri,1985,102,Horror,5.6,80.0,Shyam Ramsay,Tulsi Ramsay,Rajan Sippy,Arti Gupta
3G: A Killer Connection,2013,125,"Horror, Sci-Fi, Thriller",3.6,1128.0,Sheershak Anand,Shantanu Ray Chhibber,Neil Nitin Mukesh,Sonal Chauhan
3rd EYE,2019,145,Horror,6.3,6.0,Sanjay Niranjan,Deepak Bhatia,Mukul Dev,Sakshi Dwivedi
3rd November,2016,128,Horror,5.839567609057182,5.839567609057182,Vasant Narkar,Minakshi Bhagat,Pragya Chahar,Kabir Khan
4 Sum,1987,96,"Crime, Drama, Thriller",5.839567609057182,5.839567609057182,Neeraj Gwal,Pranav Chandrakar,Yashwant Anand Gupta,Neeraj Uke
404: Error Not Found,2011,121,"Drama, Mystery, Thriller",7.3,2548.0,Prawaal Raman,Rajvvir Aroraa,Imaaduddin Shah,Nishikant Kamat
417 Miles,2016,75,Drama,4.8,9.0,Mainak Dhar,Marilia Colturato,Kyara Jacob,Kyara Ralella Jacob
42 Kms.,2009,128,"Drama, Sport",3.9,14.0,Nisha Chainani,Mandira Bedi,Bikram Saluja,Sammir Dattani
498A-The Wedding Gift,2012,113,"Drama, Family, Musical",7.8,21.0,Suhaib Ilyasi,Srishti Gautam,Farida Jalal,Supriya Karnik
4pm on the Court,2011,115,Sport,5.839567609057182,5.839567609057182,Shine Krishna,Ashish Bhatia,Naveen Kaushik,Vinay Sharma
5 Ghantey Mien 5 Crore,2012,111,Thriller,5.7,75.0,Faisal Saif,Nassar Abdulla,Shawar Ali,Rashid Khan
5 Rifles,1974,134,"Action, Comedy",6.5,36.0,I.S. Johar,Rakesh Khanna,Rajesh Khanna,Ambika Johar
50 Lakh,2007,128,"Comedy, Thriller",6.5,82.0,Chandra Sekhar Yeleti,Pawan Malhotra,Mohit Chadha,Veerendra Chauhan
500 Ka Note,2002,128,Thriller,5.839567609057182,5.839567609057182,Tinnu Anand,Birbal,Chandrashekhar,Siddharth Dhawan
5ters: Castle of Dark Master,2011,110,"Action, Adventure, Fantasy",4.6,19.0,G. Venugopal,Akash,Avinash,Gagan
6-5=2,2014,104,Horror,4.2,171.0,Bharat Jain,Prashantt Guptha,Gaurav Paswala,Gaurav Kothari
68 Pages,2007,92,Drama,6.2,31.0,Sridhar Rangayan,Mouli Ganguly,Joy Sengupta,Jayati Bhatia
7 1/2 Phere: More Than a Wedding,2005,136,"Comedy, Drama",5.3,281.0,Ishaan Trivedi,Juhi Chawla,Irrfan Khan,Manoj Pahwa
7 Bijliyaan,1988,126,Action,5.0,7.0,Raju Saigal,Tina Ambani,Shoma Anand,Krishan Dhawan
7 Days,1995,128,"Action, Drama",3.4,10.0,Sunil Kumar,Arvind Singh,Channa Ruparel,Avtar Gill
7 Hours to Go,2016,115,"Crime, Thriller",5.7,398.0,Saurabh Varma,Sandeepa Dhar,Natasa Stankovic,Shiv Panditt
7 Islands and a Metro,2006,100,Documentary,6.2,10.0,Dutta Madhusree,Vibha Chhibber,Harish Khanna,Om Prakash
7 Khoon Maaf,2011,137,"Drama, Mystery, Thriller",6.1,5640.0,Vishal Bhardwaj,Priyanka Chopra Jonas,Vivaan Shah,Neil Nitin Mukesh
7 Saal Baad,1987,127,"Drama, Horror, Musical",4.1,34.0,S.U. Syed,Sharmila Tagore,Suresh Oberoi,Navin Nischol
706,2019,120,Thriller,5.3,449.0,Shravankumar Tiwari,Mohan Agashe,Raayo S. Bakhirta,Divya Dutta
72 Hours: Martyr Who Never Died,2019,130,"Action, Biography, Drama",5.3,249.0,Avinash Dhyani,Avinash Dhyani,Yeshi Dema,Alka Amin
777 Charlie,1987,136,"Adventure, Comedy, Drama",5.839567609057182,5.839567609057182,Kiranraj K,Rakshit Shetty,Charlie,Sangeetha Sringeri
7th Villa,2018,125,Horror,5.839567609057182,5.839567609057182,Ajay Arak,Meenal Chauhan,Mansi Sharma,Vinit
8 PM: A Murder Mystery,2008,128,Mystery,5.839567609057182,5.839567609057182,Sunil Bhojwani,Krishna Abhishek,Ramesh Bachwani,Dravika
8 x 10 Tasveer,2009,122,"Action, Fantasy, Mystery",5.4,5459.0,Nagesh Kukunoor,Akshay Kumar,Ayesha Takia,Javed Jaffrey
8119 Miles,2021,115,"Adventure, Drama, Mystery",6.6,21.0,Joe Eshwar,Ranji Vijayan,Kuriakose Oonnittan,Guy Bleyaert
'83,2021,150,"Biography, Drama, History",5.839567609057182,5.839567609057182,Kabir Khan,Ranveer Singh,Deepika Padukone,Tahir Raj Bhasin
88 Antop Hill,2003,119,"Mystery, Thriller",4.7,66.0,Kushan Nandy,Atul Kulkarni,Rahul Dev,Suchitra Pillai
9 O' Clock,2017,124,Action,5.3,9.0,Amrit Raj Thakur,Arun Bakshi,Ajeet Goswami,Rohit Rajawat
9 to 12,2011,115,"Drama, Musical, Thriller",5.839567609057182,5.839567609057182,Ashok Patil,Nimisha Baby,Venkatesh Chakravarthy,Kishore Kumar G.
99,2009,135,"Comedy, Crime, Drama",7.3,2767.0,Krishna D.K.,Raj Nidimoru,Kunal Khemu,Boman Irani
99 Songs,2019,128,"Musical, Romance",7.4,1901.0,Vishwesh Krishnamoorthy,Ehan Bhat,Edilsy Vargas,Tenzing Dalha
99.9 FM,2005,90,"Crime, Drama",4.8,38.0,Sanjay Bhatia,Shawar Ali,Rajkumar Kanojia,Jai Nagra
A Billion Colour Story,2016,105,Drama,8.1,412.0,Padmakumar Narasimhamurthy,Dhruva Padmakumar,Gaurav Sharma,Vasuki
A Call from the Past,2016,76,"Drama, Fantasy, Mystery",5.839567609057182,5.839567609057182,Ajay Jain,Vidhu Rashmi Jain,Ashok Banthia,Bharat Ratna Bhargava
A Cold Plan,2021,128,Thriller,5.839567609057182,5.839567609057182,Sanjay Raj,Ansh Chaturvedi,Jigyasa Tiwari,Anurag Bhardwaj
A Daughter's Dream,2014,128,"Drama, Family, Sport",5.839567609057182,5.839567609057182,Manto Pashupatinath,Bhavana Singh Chauhan,Akhilendra Mishra,Abhilash Narain
A Daughter's Tale PANKH,2017,145,Drama,6.3,10.0,Premraaj,Rajinder Verma,Sunil Lahri,Nishigandha Wad
A Death in the Gunj,2016,110,"Drama, Thriller",7.5,4637.0,Konkona Sen Sharma,Kalki Koechlin,Vikrant Massey,Gulshan Devaiah
A Film by Aravind,2005,150,"Horror, Mystery",6.8,179.0,Sekhar Suri,Sherlyn Chopra,Rajeev Kanakala,Richard Rishi
A Flying Jatt,2016,151,"Action, Adventure, Comedy",3.0,4145.0,Remo D'Souza,Tiger Shroff,Jacqueline Fernandez,Nathan Jones
A Game Called Relationship,2020,109,"Comedy, Romance",6.3,181.0,Vivek Sharma,Mandy Takhar,Vivek Sharma,Sumit Suri
A Gift of Love: Sifar,2019,95,"Drama, Romance",8.0,33.0,Dhruv Sachdev,Sanjay Deyali,Sudha Chandran,Anang Desai
A Journey of Samyak Buddha,2013,127,Drama,7.3,17.0,Praveen Damle,Geeta Agrawal,Jyoti Bagat,Gautam Dhengare
A Mistake (Ek Galti),2021,128,Thriller,5.839567609057182,5.839567609057182,Chand Mehta,Hrishitaa Bhatt,Gulshan Pandey,Jimmy Shergil
A New Love Ishtory,2013,140,Romance,6.0,80.0,John Mathew Matthan,Raqesh Bapat,Gurpreet Kaur Chadha,Smita Jaykar
A Night in Calcutta,1970,128,Drama,5.839567609057182,5.839567609057182,Amrit Mahendra,Master Bhagwan,Simi Garewal,Jagdev
A Scandall,2016,112,Thriller,3.1,142.0,Ishaan Trivedi,Johnny Baweja,Reeth Mazumder-Roberts,Manav Kaul
A Separate Sky,2021,128,Drama,5.839567609057182,5.839567609057182,Raajhorshee De,Sayan Chakraborty,Sudiptaa Chakraborty,Ranita Das
A Story of a Call Girl,2000,128,Thriller,5.839567609057182,5.839567609057182,Teerat Singh,Pinky Chinoy,Ali Khan,Anjali Kolhapuri
A Strange Love Story,2011,128,Drama,3.8,15.0,Tarique Khan,Sahil Seth,Gunjan Bakshi,Snehal Dabi
A Thin Line,2019,104,Drama,7.9,24.0,Vierendrra Lalit,Trivikram Mattoo,Rahul Roy,Akansha Shivhare
A Thursday,2021,128,"Drama, Thriller",5.839567609057182,5.839567609057182,Behzad Khambata,Dimple Kapadia,Yami Gautam,Neha Dhupia
A Wednesday,2008,104,"Action, Crime, Drama",8.1,75118.0,Neeraj Pandey,Anupam Kher,Naseeruddin Shah,Jimmy Sheirgill
Aa Ab Laut Chalen,1999,177,"Musical, Romance, Drama",5.5,1621.0,Rishi Kapoor,Rajesh Khanna,Akshaye Khanna,Aishwarya Rai Bachchan
AA BB KK,2018,121,Drama,8.0,249.0,Ramkumar Shedge,Shravani Abhang,Sajid Ali,Tamannaah Bhatia
Aa Bhi Ja O Piya,2021,140,"Family, Romance",5.839567609057182,5.839567609057182,Rajesh Harivansh Mishra,Abhijeet Lahiri,Akanksha Sinha,Mukul Nag
Aa Dekhen Zara,2009,117,"Action, Sci-Fi, Thriller",5.0,866.0,Jehangir Surti,Neil Nitin Mukesh,Bipasha Basu,Sophiya Chaudhary
Aa Gale Lag Jaa,1973,148,"Action, Drama, Romance",7.2,348.0,Manmohan Desai,Shashi Kapoor,Sharmila Tagore,Shatrughan Sinha
Aa Gaya Hero,2017,123,Action,2.7,339.0,Dipankar Senapati,Govinda,Richa Sharma,Poonam Pandey
Aa Jao Please,2016,120,Drama,6.8,16.0,Azad Jain,Neha Chauhan,Ganraj Jadhav,Dipak Khetiya
Aaag Hi Aag,1999,128,Action,4.9,28.0,T.L.V. Prasad,Mithun Chakraborty,Jackie Shroff,Sneha
Aabra Ka Daabra,2004,144,Fantasy,2.4,264.0,Dheeraj Kumar,Naveen Bawa,Prabhu Deva,Satish Kaushik
Aabroo,1956,128,Romance,5.839567609057182,5.839567609057182,Chaturbhuj Doshi,Kamini Kaushal,Kishore Kumar,Madan Puri
Aabshar,1953,128,"Drama, Romance",5.0,5.0,Hasrat Lucknowi,Iftekhar,Kuldip Kaur,Raaj Kumar
Aadamkhor,1986,128,Action,5.5,6.0,Joginder Shelly,Sona Mastan Mirza,Joginder Shelly,Neelam Mehra
Aadamkhor Hasina,2002,128,Action,5.839567609057182,5.839567609057182,Salim Suma,Poonam Dasgupta,Raza Murad,Amit Pachori
Aadha Din Aadhee Raat,1977,132,Action,5.1,18.0,Doondi,Jalal Agha,Vinod Khanna,Shabana Azmi
Aadhaar,2019,107,Drama,7.6,69.0,Suman Ghosh,Vineet Kumar Singh,Saurabh Shukla,Raghuvir Yadav
Aadharshila,1982,154,Drama,6.4,19.0,Ashok Ahuja,Dolly Ahluwalia,Raja Bundela,Neena Gupta
Aadhe Adhure,1996,128,Drama,5.839567609057182,5.839567609057182,Pooja Choudhary,Tushar Dalvi,Narendra Gupta,Rekha Purohit
Aadhi Bhagavan,2013,157,"Action, Crime, Thriller",5.4,568.0,Ameer Sultan,Jayam Ravi,Neetu Chandra,Sudha Chandran
Aadhi Raat,1950,115,"Drama, Romance",6.7,9.0,S.K. Ojha,Cuckoo,Jeevan,Kuldip Kaur
Aadhi Roti,1957,128,Drama,5.839567609057182,5.839567609057182,Chandrakant,Prem Adib,Master Bhagwan,Daisy Irani
Aadhi Zindagi Aadhi Maut,1986,128,Thriller,5.839567609057182,5.839567609057182,V. Menon,Aparajita,Abhi Bhattacharya,Sargam
Aadmi,1968,175,"Drama, Romance",6.8,196.0,A. Bhimsingh,Dilip Kumar,Waheeda Rehman,Manoj Kumar
Aadmi Aur Apsara,1991,142,Fantasy,6.7,66.0,J. Om Prakash,K. Raghavendra Rao,Chiranjeevi,Amrish Puri
Aadmi Aur Insaan,1969,168,"Drama, Romance, Thriller",6.2,149.0,Yash Chopra,Dharmendra,Saira Banu,Feroz Khan
Aadmi Khilona Hai,1993,158,"Drama, Romance",5.0,142.0,J. Om Prakash,Jeetendra,Reena Roy,Govinda
Aadmi Ki Aurat Aur Anya Kahaniya,2009,78,Drama,7.6,62.0,Amit Dutta,Ashok Chaudhary,Bramhaswaroop Mishra,Gagan Singh Sethi
Aadmi Sadak Ka,1977,138,"Drama, Family",5.4,34.0,Devendra Goel,Shatrughan Sinha,Vikram Makandar,Zaheera
Aadupuliyattam,2016,145,Horror,4.2,266.0,Kannan Thamarakkulam,Jayaram,Ramya Krishnan,Om Puri
Aafat,1977,148,"Crime, Drama",5.3,17.0,Atma Ram,Navin Nischol,Leena Chandavarkar,Jayshree T.
Aafat-e-Ishq,2021,128,"Comedy, Thriller",5.839567609057182,5.839567609057182,Indrajit Nattoji,Amit Sial,Neha Sharma,Garima Jain
Aafreen,2021,128,Romance,5.839567609057182,5.839567609057182,Manjeet Rai,Chitransh Raaj,Prishita Tiwari,Sapna Shetty
Aag,1948,138,"Musical, Romance",7.4,357.0,Raj Kapoor,Nargis,Kamini Kaushal,Nigar Sultana
Aag Andhi Aur Toofan,1994,128,"Action, Thriller",3.1,11.0,Kanti Shah,Amit Dhamija,Mukesh Khanna,Kiran Kumar
Aag aur Angaray,1990,128,Action,5.839567609057182,5.839567609057182,Vikaram Naroo,Rakesh Bedi,Birbal,Gulshan Grover
Aag Aur Chingari,1994,133,Action,4.1,13.0,Kanti Shah,Alpana,Aparajita,Asrani
Aag Aur Daag,1970,128,"Action, Comedy, Drama",3.7,14.0,A. Salaam,Joy Mukherjee,Poonam Sinha,Master Bhagwan
Aag Aur Tezaab,1998,128,Action,5.839567609057182,5.839567609057182,Israr Ahmed,Jagdish Sidana,Satish Kaul,Kader Khan
Aag Aur Toofan,1975,128,"Action, Drama, Thriller",5.839567609057182,5.839567609057182,Tanvir Ahmed,Mumtaz,Robin Kumar,Anwar Hussain
Aag Ka Dariya,1990,128,Action,4.2,22.0,S.V. Rajendra Singh Babu,Avtar Gill,Rajiv Kapoor,Padmini Kolhapure
Aag Ka Gola,1990,180,"Action, Drama",4.8,101.0,David Dhawan,Sunny Deol,Dimple Kapadia,Archana Puran Singh
Aag Ka Prem Yudh,2002,128,Action,5.839567609057182,5.839567609057182,Thriller Manju,Rachana Maurya,Sanghavi,Upendra
Aag Ke Sholay,1988,138,"Action, Thriller",3.4,7.0,S.R. Pratap,Bipasha,Hemant Birje,Sudhir Dalvi
Aag Laga Do Sawan Ko,1991,128,"Drama, Romance",5.7,7.0,Anup Malik,Reema Lagoo,Kuldeep Mallik,Harish Patel
Aag Se Khelenge,1989,151,Action,5.0,52.0,Subhash Ghai,Bhaskar Shetty,Jeetendra,Anil Kapoor
Aagaah: The Warning,2011,128,"Drama, Horror, Thriller",3.6,23.0,Karan Razdan,Ila Arun,Anang Desai,Zakir Hussain
Aage Badho,1947,128,Drama,6.0,6.0,Yeshwant Pethkar,Dev Anand,Madhu Apte,Khurshid Begum
Aage Ki Soch,1988,128,Comedy,4.8,30.0,Dada Kondke,Shakti Kapoor,Huma Khan,Dada Kondke
Aage Maut Peeche Maut,2001,78,Horror,3.1,7.0,A.T. Joy,Lekha Pande,Vimal Raj,Shakila
Aagey Se Right,2009,117,"Comedy, Crime, Drama",5.0,381.0,Indrajit Nattoji,Shreyas Talpade,Mahie Gill,Karan Veer Mehra
Aaghaat,2000,128,Action,5.839567609057182,5.839567609057182,Vijay Borade,Zaffar Abbas,Mohnish Bahl,Meena Bisht
Aaghaaz,2000,153,"Action, Crime, Drama",4.2,274.0,Yogesh Ishwar,Sunil Shetty,Sushmita Sen,Namrata Shirodkar
Aaghosh,1953,128,"Drama, Romance",5.839567609057182,5.839567609057182,R.D. Mathur,Agha,Nasir Khan,Leela Mishra
Aagman,1982,128,Drama,4.8,8.0,Muzaffar Ali,Masood Akhtar,Bharat Bhushan,Rajina Raj Bisaria
Aahat - Ek Ajeeb Kahani,1971,128,Thriller,6.4,10.0,Kishore Rege,Jaya Bachchan,Ramesh Deo,Dharmendra
Aahuti,1978,135,"Action, Drama",6.0,25.0,Ashok V. Bhushan,Rajendra Kumar,Shashi Kapoor,Rakesh Roshan
Aahvaan,2020,114,"Comedy, Horror",5.839567609057182,5.839567609057182,Amrit Raj Thakur,Dev Vart Singh,Arya Chaturvedi,Muskaan Sinha
Aaiyash: The Desire,2004,123,"Drama, Romance",5.839567609057182,5.839567609057182,Sandeep Kumar,Akansha,Rakhi Bajaj,Amit Dhamija
Aaj,1987,116,Drama,5.5,281.0,Mahesh Bhatt,Raj Babbar,Smita Patil,Raj Kiran
Aaj Aur Kal,1947,128,"Comedy, Sci-Fi",4.1,8.0,Khwaja Ahmad Abbas,Nayantara,Shyam,Rashid Ahmed
Aaj Ka Andha Kanoon,2003,46,Action,3.1,15.0,Amit Chandra Sahay,Sudesh Berry,Priyanka Upendra,Aman Jalali
Aaj Ka Gang Leader,1993,128,Action,5.6,29.0,Kodanda Rami Reddy A.,Bhanupriya,Chiranjeevi,Radha
Aaj Ka Goonda Raaj,1992,147,"Action, Thriller",5.3,144.0,Ravi Raja Pinisetty,Chiranjeevi,Meenakshi Sheshadri,Raj Babbar
Aaj Ka Gunda Raaj,2006,128,Action,6.0,46.0,Mahesh Anand,Tanikella Bharani,Gulshan Grover,Milind Gunaji
Aaj Ka Inteqaam,1991,128,Thriller,5.839567609057182,5.839567609057182,Rajni Bala,Jainendra,Jamuna,Neela
Aaj Ka Krantiveer,2004,128,Action,5.839567609057182,5.839567609057182,Jayasudha,Nassar,Soundarya,Vijayakanth
Aaj Ka Laawaris,2006,128,Action,5.7,17.0,Arjun Sarja,Jagapathi Babu,Gajala,Vija Kumar
